symbol,event,side,trades,win_rate,avg_r,pf,gross_r,bad_rate,end_equity,return_pct,max_dd_pct,train_trades,train_win_rate,train_avg_r,train_pf,train_gross_r,train_bad_rate,validate_trades,validate_win_rate,validate_avg_r,validate_pf,validate_gross_r,validate_bad_rate,test_trades,test_win_rate,test_avg_r,test_pf,test_gross_r,test_bad_rate,positive_all_splits
MU,S_prev_high_sweep_reject,short,73,0.684931506849315,0.19863013698630136,1.6304347826086956,14.5,0.3150684931506849,11530.87373058639,15.308737305863907,-2.9700999999999977,37,0.6216216216216216,0.08783783783783784,1.2321428571428572,3.25,0.3783783783783784,23,0.8260869565217391,0.44565217391304346,3.5625,10.25,0.17391304347826086,13,0.6153846153846154,0.07692307692307693,1.2,1.0,0.38461538461538464,True
CRM,S_late_trend_follow,short,87,0.6666666666666666,0.16666666666666666,1.5,14.5,0.3333333333333333,11524.811279721469,15.248112797214697,-5.3901243198585025,56,0.6428571428571429,0.125,1.35,7.0,0.35714285714285715,19,0.7368421052631579,0.2894736842105263,2.1,5.5,0.2631578947368421,12,0.6666666666666666,0.16666666666666666,1.5,2.0,0.3333333333333333,True
NFLX,S_prev_high_sweep_reject,short,47,0.7446808510638298,0.30319148936170215,2.1875,14.25,0.2553191489361702,11513.284955054698,15.13284955054699,-3.717727527532777,32,0.65625,0.1484375,1.4318181818181819,4.75,0.34375,7,0.8571428571428571,0.5,4.5,3.5,0.14285714285714285,8,1.0,0.75,inf,6.0,0.0,True
DIS,S_vwap_pullback_trend,short,276,0.5978260869565217,0.048795967725135767,1.1221201001051666,13.467687092137473,0.40217391304347827,11326.028407674838,13.260284076748373,-8.696304165632629,168,0.5952380952380952,0.04593861364367543,1.1147060313266313,7.7176870921374725,0.40476190476190477,51,0.6274509803921569,0.09803921568627451,1.263157894736842,5.0,0.37254901960784315,57,0.5789473684210527,0.013157894736842105,1.03125,0.75,0.42105263157894735,True
AVGO,S_late_trend_follow,short,80,0.6625,0.159375,1.4722222222222223,12.75,0.3375,11327.606635791595,13.276066357915962,-3.965654379149375,39,0.6666666666666666,0.16666666666666666,1.5,6.5,0.3333333333333333,26,0.5769230769230769,0.009615384615384616,1.0227272727272727,0.25,0.4230769230769231,15,0.8,0.4,3.0,6.0,0.2,True
SMCI,S_RS_accel_breakdown,short,82,0.6585365853658537,0.1524390243902439,1.4464285714285714,12.5,0.34146341463414637,11298.438048704427,12.984380487044266,-5.245589387133753,50,0.58,0.015,1.0357142857142858,0.75,0.42,24,0.75,0.3125,2.25,7.5,0.25,8,0.875,0.53125,5.25,4.25,0.125,True
HOOD,S_prev_high_sweep_reject,short,59,0.6779661016949152,0.1864406779661017,1.5789473684210527,11.0,0.3220338983050847,11139.633175046,11.396331750459998,-3.4691606161193045,20,0.75,0.3125,2.25,6.25,0.25,24,0.6666666666666666,0.16666666666666666,1.5,4.0,0.3333333333333333,15,0.6,0.05,1.125,0.75,0.4,True
JPM,L_late_trend_follow,long,59,0.6779661016949152,0.1864406779661017,1.5789473684210527,11.0,0.3220338983050847,11139.633175046,11.396331750459998,-6.577407302237526,36,0.6666666666666666,0.16666666666666666,1.5,6.0,0.3333333333333333,16,0.6875,0.203125,1.65,3.25,0.3125,7,0.7142857142857143,0.25,1.875,1.75,0.2857142857142857,True
INTC,L_gap_cont_controlled,long,86,0.6395348837209303,0.11918604651162791,1.3306451612903225,10.25,0.36046511627906974,11045.084613771505,10.450846137715054,-5.145874947849249,31,0.6774193548387096,0.18548387096774194,1.575,5.75,0.3225806451612903,25,0.6,0.05,1.125,1.25,0.4,30,0.6333333333333333,0.10833333333333334,1.2954545454545454,3.25,0.36666666666666664,True
AMAT,L_RS_accel_breakout,long,71,0.647887323943662,0.13380281690140844,1.38,9.5,0.352112676056338,10968.629986853037,9.68629986853038,-5.390124319858525,39,0.6666666666666666,0.16666666666666666,1.5,6.5,0.3333333333333333,19,0.631578947368421,0.10526315789473684,1.2857142857142858,2.0,0.3684210526315789,13,0.6153846153846154,0.07692307692307693,1.2,1.0,0.38461538461538464,True
AAPL,L_early_lowATR_RS_nearVWAP,long,66,0.6515151515151515,0.14015151515151514,1.4021739130434783,9.25,0.3484848484848485,10943.262897695278,9.432628976952785,-5.658554925193071,43,0.5813953488372093,0.01744186046511628,1.0416666666666667,0.75,0.4186046511627907,16,0.75,0.3125,2.25,5.0,0.25,7,0.8571428571428571,0.5,4.5,3.5,0.14285714285714285,True
UNH,L_10_ORB_confirmed,long,131,0.6106870229007634,0.06870229007633588,1.1764705882352942,9.0,0.3893129770992366,10889.283620739618,8.892836207396183,-8.69630416563264,70,0.5857142857142857,0.025,1.0603448275862069,1.75,0.4142857142857143,33,0.6060606060606061,0.06060606060606061,1.1538461538461537,2.0,0.3939393939393939,28,0.6785714285714286,0.1875,1.5833333333333333,5.25,0.32142857142857145,True
PG,S_late_trend_follow,short,22,0.7727272727272727,0.39276045014695105,3.102740803051842,8.640729903232923,0.22727272727272727,10895.116958896766,8.951169588967666,-1.1081773957993923,7,0.7142857142857143,0.25,1.875,1.75,0.2857142857142857,9,0.7777777777777778,0.46008110035921373,4.732841906854713,4.1407299032329234,0.2222222222222222,6,0.8333333333333334,0.4583333333333333,3.75,2.75,0.16666666666666666,True
PLTR,L_late_trend_follow,long,214,0.5934579439252337,0.038551401869158876,1.0948275862068966,8.25,0.40654205607476634,10774.171674241827,7.741716742418259,-13.216744747725162,150,0.5733333333333334,0.0033333333333333335,1.0078125,0.5,0.4266666666666667,50,0.64,0.12,1.3333333333333333,6.0,0.36,14,0.6428571428571429,0.125,1.35,1.75,0.35714285714285715,True
AMAT,S_vwap_pullback_trend,short,237,0.5907172995780591,0.03304322830981393,1.0807344856641845,7.831245109425902,0.4092827004219409,10719.968334395839,7.199683343958396,-11.81195247794392,162,0.5740740740740741,0.0035879327742339667,1.0084238421655929,0.5812451094259026,0.42592592592592593,61,0.6065573770491803,0.06147540983606557,1.15625,3.75,0.39344262295081966,14,0.7142857142857143,0.25,1.875,3.5,0.2857142857142857,True
COIN,S_prev_high_sweep_reject,short,50,0.66,0.155,1.4558823529411764,7.75,0.34,10786.61348464224,7.866134846422401,-3.219951992499981,31,0.6451612903225806,0.12903225806451613,1.3636363636363635,4.0,0.3548387096774194,14,0.6428571428571429,0.125,1.35,1.75,0.35714285714285715,5,0.8,0.4,3.0,2.0,0.2,True
AAPL,L_prev_low_sweep_reclaim,long,63,0.6349206349206349,0.11596625379629387,1.3219279731538862,7.305873989166514,0.36507936507936506,10733.748411871591,7.337484118715909,-4.212942819123033,46,0.6304347826086957,0.10991030411231552,1.302853469890281,5.055873989166514,0.3695652173913043,11,0.6363636363636364,0.11363636363636363,1.3125,1.25,0.36363636363636365,6,0.6666666666666666,0.16666666666666666,1.5,1.0,0.3333333333333333,True
NFLX,S_RS_accel_breakdown,short,61,0.639344262295082,0.11885245901639344,1.3295454545454546,7.25,0.36065573770491804,10728.312585721053,7.283125857210515,-3.965654379149375,38,0.631578947368421,0.10526315789473684,1.2857142857142858,4.0,0.3684210526315789,15,0.6,0.05,1.125,0.75,0.4,8,0.75,0.3125,2.25,2.5,0.25,True
